game_link;game_quality;game_comments_qtd
"javascript:popw('/annotate.pl?id=69423&rnd='+Math.random(),770,850);";;Comments (7)
"javascript:popw('/annotate.pl?id=69406&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69396&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69392&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69380&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69372&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=69357&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69352&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69334&rnd='+Math.random(),770,850);";;Comments (15)
"javascript:popw('/annotate.pl?id=69320&rnd='+Math.random(),770,850);";;Comments (12)
"javascript:popw('/annotate.pl?id=69287&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69285&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69272&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69252&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69236&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69201&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69162&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69159&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69135&rnd='+Math.random(),770,850);";;Comments (6)
"javascript:popw('/annotate.pl?id=69088&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69408&rnd='+Math.random(),770,850);";;Comments (2)
"javascript:popw('/annotate.pl?id=69400&rnd='+Math.random(),770,850);";;Comments (5)
"javascript:popw('/annotate.pl?id=69395&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69391&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69375&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=69358&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69353&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69351&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69326&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69304&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69286&rnd='+Math.random(),770,850);";;Comments (7)
"javascript:popw('/annotate.pl?id=69278&rnd='+Math.random(),770,850);";;Comments (2)
"javascript:popw('/annotate.pl?id=69255&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69240&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69228&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69179&rnd='+Math.random(),770,850);";;Comments (29)
"javascript:popw('/annotate.pl?id=69160&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=69158&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69127&rnd='+Math.random(),770,850);";;Comments (6)
"javascript:popw('/annotate.pl?id=69087&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69062&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69036&rnd='+Math.random(),770,850);";;Comments (4)
"javascript:popw('/annotate.pl?id=69019&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68959&rnd='+Math.random(),770,850);";;Comments (11)
"javascript:popw('/annotate.pl?id=68912&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68857&rnd='+Math.random(),770,850);";;Comments (15)
"javascript:popw('/annotate.pl?id=68770&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68755&rnd='+Math.random(),770,850);";;Comments (6)
"javascript:popw('/annotate.pl?id=68657&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68639&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68615&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68581&rnd='+Math.random(),770,850);";;Comments (8)
"javascript:popw('/annotate.pl?id=68569&rnd='+Math.random(),770,850);";;Comments (25)
"javascript:popw('/annotate.pl?id=68555&rnd='+Math.random(),770,850);";;Comments (16)
"javascript:popw('/annotate.pl?id=68525&rnd='+Math.random(),770,850);";;Comments (12)
"javascript:popw('/annotate.pl?id=68512&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=68455&rnd='+Math.random(),770,850);";;Comments (4)
"javascript:popw('/annotate.pl?id=68450&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68411&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68397&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69039&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=69031&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=69002&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68949&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68861&rnd='+Math.random(),770,850);";;Comments (13)
"javascript:popw('/annotate.pl?id=68837&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68763&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68711&rnd='+Math.random(),770,850);";;Comments (40)
"javascript:popw('/annotate.pl?id=68653&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68629&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68586&rnd='+Math.random(),770,850);";;Comments (4)
"javascript:popw('/annotate.pl?id=68571&rnd='+Math.random(),770,850);";;Comments (3)
"javascript:popw('/annotate.pl?id=68566&rnd='+Math.random(),770,850);";;Comments (9)
"javascript:popw('/annotate.pl?id=68536&rnd='+Math.random(),770,850);";;Comments (18)
"javascript:popw('/annotate.pl?id=68518&rnd='+Math.random(),770,850);";;Comments (18)
"javascript:popw('/annotate.pl?id=68472&rnd='+Math.random(),770,850);";;Comments (2)
"javascript:popw('/annotate.pl?id=68454&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68416&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68410&rnd='+Math.random(),770,850);";;Comments (3)
"javascript:popw('/annotate.pl?id=68369&rnd='+Math.random(),770,850);";;Comments (22)
"javascript:popw('/annotate.pl?id=68352&rnd='+Math.random(),770,850);";;Comments (12)
"javascript:popw('/annotate.pl?id=68343&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68306&rnd='+Math.random(),770,850);";;Comments (5)
"javascript:popw('/annotate.pl?id=68273&rnd='+Math.random(),770,850);";;Comments (33)
"javascript:popw('/annotate.pl?id=68229&rnd='+Math.random(),770,850);";;Comments (15)
"javascript:popw('/annotate.pl?id=68198&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68189&rnd='+Math.random(),770,850);";;Comments (63)
"javascript:popw('/annotate.pl?id=68175&rnd='+Math.random(),770,850);";;Comments (11)
"javascript:popw('/annotate.pl?id=68171&rnd='+Math.random(),770,850);";;Comments (6)
"javascript:popw('/annotate.pl?id=68147&rnd='+Math.random(),770,850);";;Comments (22)
"javascript:popw('/annotate.pl?id=68130&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68122&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68111&rnd='+Math.random(),770,850);";;Comments (21)
"javascript:popw('/annotate.pl?id=68077&rnd='+Math.random(),770,850);";;Comments (26)
"javascript:popw('/annotate.pl?id=68071&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=68052&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68029&rnd='+Math.random(),770,850);";;Comments (27)
"javascript:popw('/annotate.pl?id=68018&rnd='+Math.random(),770,850);";;Comments (4)
"javascript:popw('/annotate.pl?id=68006&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=67992&rnd='+Math.random(),770,850);";;Comments (17)
"javascript:popw('/annotate.pl?id=68349&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68342&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68287&rnd='+Math.random(),770,850);";;Comments (41)
"javascript:popw('/annotate.pl?id=68236&rnd='+Math.random(),770,850);";;Comments (8)
"javascript:popw('/annotate.pl?id=68208&rnd='+Math.random(),770,850);";;Comments (6)
"javascript:popw('/annotate.pl?id=68190&rnd='+Math.random(),770,850);";;Comments (19)
"javascript:popw('/annotate.pl?id=68186&rnd='+Math.random(),770,850);";;Comments (11)
"javascript:popw('/annotate.pl?id=68172&rnd='+Math.random(),770,850);";;Comments (25)
"javascript:popw('/annotate.pl?id=68158&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68146&rnd='+Math.random(),770,850);";;Comments (2)
"javascript:popw('/annotate.pl?id=68129&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68118&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68097&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68072&rnd='+Math.random(),770,850);";;Comments (43)
"javascript:popw('/annotate.pl?id=68058&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=68040&rnd='+Math.random(),770,850);";;Comments (13)
"javascript:popw('/annotate.pl?id=68026&rnd='+Math.random(),770,850);";;Comments (25)
"javascript:popw('/annotate.pl?id=68008&rnd='+Math.random(),770,850);";;Comments (24)
"javascript:popw('/annotate.pl?id=68005&rnd='+Math.random(),770,850);";;Comments (8)
"javascript:popw('/annotate.pl?id=67987&rnd='+Math.random(),770,850);";;Comments (0)
